Song_ID,Daily Stream,Total Stream,Extract_Date
60a0Rd6pjrkxjPbaKzXjfq,1509532,487299590,2024-06-28 11:11:02
5RKQ5NdjSh2QzD4MaunT91,1509339,86599045,2024-06-28 11:11:02
7iQXYTyuG13aoeHxGG28Nh,1502490,707425919,2024-06-28 11:11:02
0JXXNGljqupsJaZsgSbMZV,1501056,694096879,2024-06-28 11:11:02
1FEiijYPJtyswChfcpv3p0,1499802,874261286,2024-06-28 11:11:02
4w2GLmK2wnioVnb5CPQeex,1499136,27860276,2024-06-28 11:11:02
4QNpBfC0zvjKqPJcyqBy9W,1496143,75511563,2024-06-28 11:11:02
2F3N9tdombb64aW6VtZOdo,1495340,231165736,2024-06-28 11:11:02
3GCdLUSnKSMJhs4Tj6CV3s,1495057,627040362,2024-06-28 11:11:02
5aIVCx5tnk0ntmdiinnYvw,1492257,677572961,2024-06-28 11:11:02
5PjdY0CKGZdEuoNab3yDmX,1491554,2968659872,2024-06-28 11:11:02
1xznGGDReH1oQq0xzbwXa3,1489316,2386626897,2024-06-28 11:11:02
0R6NfOiLzLj4O5VbYSJAjf,1485186,660613105,2024-06-28 11:11:02
2N0SPREDYqILVEFSsWF5N5,1478943,531127833,2024-06-28 11:11:02
5O2P9iiztwhomNh8xkR9lJ,1475308,827037283,2024-06-28 11:11:02
0ll8uFnc0nANY35E0Lfxvg,1471256,751442848,2024-06-28 11:11:02
58ge6dfP91o9oXMzq3XkIS,1468796,1206271515,2024-06-28 11:11:02
7b71WsDLb8gG0cSyDTFAEW,1465435,185646644,2024-06-28 11:11:02
5Y35SjAfXjjG0sFQ3KOxmm,1462093,271992560,2024-06-28 11:11:02
4RvWPyQ5RL0ao9LPZeSouE,1458064,784211289,2024-06-28 11:11:02
09CnYHiZ5jGT1wr1TXJ9Zt,1449325,117742142,2024-06-28 11:11:02
0izPpjfwsu2DuzWGqsABkT,1447943,5485070,2024-06-28 11:11:02
3hxIUxnT27p5WcmjGUXNwx,1434104,695015886,2024-06-28 11:11:02
4kbj5MwxO1bq9wjT5g9HaA,1433996,386605832,2024-06-28 11:11:02
5LhI8m7n8xlQmNe3b7Rwis,1429184,291434598,2024-06-28 11:11:02
6gBFPUFcJLzWGx4lenP6h2,1427927,1660100831,2024-06-28 11:11:02
6wf7Yu7cxBSPrRlWeSeK0Q,1426428,879243617,2024-06-28 11:11:02
2nLtzopw4rPReszdYBJU6h,1422070,200291858,2024-06-28 11:11:02
7wLShogStyDeZvL0a6daN5,1418149,444013641,2024-06-28 11:11:02
1LY3GhF0zxIVgbYEQjCbUO,1412602,109159400,2024-06-28 11:11:02
3dYD57lRAUcMHufyqn9GcI,1407328,1465947840,2024-06-28 11:11:02
2YFhqZvhTpyK13gKXMKV7R,1404113,9676863,2024-06-28 11:11:02
6dBUzqjtbnIa1TwYbyw5CM,1402249,460835888,2024-06-28 11:11:02
71ywEs45ClmTNRiaJ7YEsr,1396853,347457810,2024-06-28 11:11:02
4OMJGnvZfDvsePyCwRGO7X,1391329,498894315,2024-06-28 11:11:02
505v13epFXodT9fVAJ6h8k,1385764,590000055,2024-06-28 11:11:02
7K3BhSpAxZBznislvUMVtn,1384965,908187947,2024-06-28 11:11:02
56y1jOTK0XSvJzVv9vHQBK,1378013,1075471946,2024-06-28 11:11:02
1yxgsra98r3qAtxqiGZPiX,1376019,448891508,2024-06-28 11:11:02
0u2P5u6lvoDfwTYjAADbn4,1373013,2747843319,2024-06-28 11:11:02
5qaEfEh1AtSdrdrByCP7qR,1371184,869122322,2024-06-28 11:11:02
1odExI7RdWc4BT515LTAwj,1368081,1107490111,2024-06-28 11:11:02
3AVrVz5rK8Hrqo9YGiVGN5,1365827,874958589,2024-06-28 11:11:02
2jPCbFrFlyGbKgblxub8Lm,1359309,70228123,2024-06-28 11:11:02
1gihuPhrLraKYrJMAEONyc,1358604,4285982,2024-06-28 11:11:02
0pqnGHJpmpxLKifKRmU6WP,1357914,2925885104,2024-06-28 11:11:02
003vvx7Niy0yvhvHt4a68B,1356260,800612811,2024-06-28 11:11:02
4sgMbwl9lXGyHcHmtFYGMm,1333212,83165485,2024-06-28 11:11:02
1TfqLAPs4K3s2rJMoCokcS,1322809,15764395,2024-06-28 11:11:02
5UWwZ5lm5PKu6eKsHAGxOk,1319176,4383433,2024-06-28 11:11:02
2o1pb13quMReXZqE7jWsgq,1318232,219624253,2024-06-28 11:11:02
2zYzyRzz6pRmhPzyfMEC8s,1309829,120440595,2024-06-28 11:11:02
3w0w2T288dec0mgeZZqoNN,1307013,453936053,2024-06-28 11:11:02
5zCnGtCl5Ac5zlFHXaZmhy,1306723,62536217,2024-06-28 11:11:02
